cell_id,usage_profile,cycle_id,timestamp,voltage_mean,voltage_min,voltage_max,current_mean,current_max,temperature_mean,temperature_max,soc_min,soc_max,charge_time_min,discharge_time_min,soh_ground_truth,charge_time,discharge_depth,c_rate,internal_resistance_proxy,cumulative_time_above_40C,cumulative_deep_dod_cycles,cumulative_cycle_count
CELL_01,mild,1,2025-01-01 06:00:16,3.647,3.073,4.23,2.883,3.51,25.99,31.92,39.09,98.39,102.49,60.56,99.999,102.49,59.3,0.5766,1.845295055821373,0,0,1
CELL_01,mild,2,2025-01-01 10:23:16,3.582,2.973,4.216,2.238,2.882,23.15,27.88,32.48,96.56,141.72,87.09,99.991,141.72,64.08000000000001,0.4476,1.9301242236024847,0,0,2
CELL_01,mild,3,2025-01-01 14:51:41,3.579,2.988,4.182,2.7,3.794,22.7,25.96,37.92,99.8,111.11,67.69,99.989,111.11,61.879999999999995,0.54,1.091407678244973,0,0,3
CELL_01,mild,4,2025-01-01 18:09:53,3.664,3.055,4.264,3.597,5.362,25.78,30.03,22.85,96.74,80.38,63.39,99.988,80.38,73.88999999999999,0.7194,0.684985835694051,0,0,4
CELL_01,mild,5,2025-01-01 21:27:11,3.665,3.097,4.247,3.162,3.865,24.08,28.2,32.89,98.17,97.54,63.1,99.975,97.54,65.28,0.6324,1.635846372688477,0,0,5
CELL_01,mild,6,2025-01-02 01:07:42,3.621,2.965,4.243,3.55,4.591,26.51,30.94,43.79,96.25,81.4,44.93,99.972,81.4,52.46,0.71,1.2276657060518732,0,0,6
CELL_01,mild,7,2025-01-02 06:58:05,3.564,2.922,4.173,1.69,2.041,25.72,31.81,30.28,97.98,180.63,117.31,99.959,180.63,67.7,0.33799999999999997,3.564102564102564,0,0,7
CELL_01,mild,8,2025-01-02 10:06:49,3.608,2.932,4.263,3.372,4.339,25.04,29.68,40.25,96.31,89.74,52.19,99.951,89.74,56.06,0.6744,1.376421923474663,0,0,8
CELL_01,mild,9,2025-01-02 14:09:36,3.612,2.985,4.252,2.649,3.36,25.19,31.42,34.74,99.58,114.29,68.13,99.95,114.29,64.84,0.5298,1.7819971870604785,0,0,9
CELL_01,mild,10,2025-01-02 18:39:20,3.68,3.094,4.266,1.989,2.604,24.42,31.19,37.74,98.81,147.62,88.78,99.949,147.62,61.07,0.39780000000000004,1.9056910569105694,0,0,10
