cycle_id,cell_id,timestamp,voltage_mean,voltage_min,voltage_max,current_mean,current_max,temperature_mean,temperature_max,soc_min,soc_max,charge_time_min,discharge_time_min,soh_ground_truth
1,cell_00,2024-01-01 00:00:00,3.6976,3.5467,3.8631,1.0471,1.5781,23.85,33.08,0.1815,0.9598,110.09,113.38,99.647
2,cell_00,2024-01-01 06:00:00,3.6892,3.5398,3.8536,0.9508,1.4508,25.13,34.39,0.1488,0.9504,124.07,117.08,100.235
3,cell_00,2024-01-01 12:00:00,3.7057,3.5419,3.8557,0.9772,1.4788,23.81,32.77,0.1525,0.9578,122.06,112.2,99.943
1,cell_01,2024-01-01 00:00:00,3.6923,3.5424,3.8476,1.4037,2.1424,31.41,39.41,0.113,0.9463,81.68,78.88,100.035
2,cell_01,2024-01-01 06:00:00,3.7096,3.5572,3.86,1.3743,2.0243,30.66,39.04,0.0975,0.9529,87.39,82.33,99.078
3,cell_01,2024-01-01 12:00:00,3.6961,3.5399,3.846,1.2247,1.9119,30.63,38.63,0.1215,0.9519,99.25,94.49,100.054
1,cell_02,2024-01-01 00:00:00,3.7025,3.5526,3.8634,1.7439,2.6486,40.18,48.18,0.1068,0.9554,68.25,62.6,100.043
2,cell_02,2024-01-01 06:00:00,3.6949,3.5457,3.8477,1.8117,2.7117,36.24,44.24,0.0843,0.9325,67.43,60.79,100.309
3,cell_02,2024-01-01 12:00:00,3.6987,3.5489,3.8486,1.799,2.708,38.59,47.01,0.0656,0.9355,66.65,64.02,100.091
1,cell_03,2024-01-01 00:00:00,3.7181,3.5689,3.8746,1.0069,1.5521,24.54,32.54,0.1485,0.9502,119.31,108.25,100.317
2,cell_03,2024-01-01 06:00:00,3.6896,3.5289,3.8395,0.9815,1.4815,27.16,35.16,0.1366,0.9597,117.96,115.26,100.132
3,cell_03,2024-01-01 12:00:00,3.7035,3.5539,3.8574,0.9268,1.4268,26.48,34.48,0.1666,0.9422,131.7,126.52,100.153
1,cell_04,2024-01-01 00:00:00,3.7152,3.5618,3.865,1.3508,2.0425,31.2,39.2,0.1341,0.9397,90.68,81.42,100.33
2,cell_04,2024-01-01 06:00:00,3.7031,3.5485,3.853,1.2528,1.9028,31.13,39.13,0.103,0.9446,92.39,86.89,100.114
3,cell_04,2024-01-01 12:00:00,3.7127,3.5632,3.8626,1.281,1.9765,31.54,39.54,0.1396,0.9508,93.7,91.29,100.194
1,cell_05,2024-01-01 00:00:00,3.6947,3.5452,3.8446,1.8715,2.8162,40.06,48.06,0.0954,0.9347,62.12,58.3,100.187
2,cell_05,2024-01-01 06:00:00,3.7026,3.5517,3.8528,1.7352,2.6352,39.87,47.87,0.0533,0.9363,68.72,62.48,99.616
3,cell_05,2024-01-01 12:00:00,3.71,3.5601,3.8699,1.788,2.7115,37.09,45.49,0.0965,0.9458,68.18,65.12,100.04
1,cell_06,2024-01-01 00:00:00,3.7035,3.5505,3.8535,0.9529,1.5046,25.93,33.93,0.148,0.9453,123.42,123.23,99.974
2,cell_06,2024-01-01 06:00:00,3.7035,3.5399,3.8675,0.9139,1.5057,24.68,32.68,0.1555,0.9547,126.11,129.19,99.485
3,cell_06,2024-01-01 12:00:00,3.7062,3.5568,3.8561,1.0067,1.5099,25.12,35.49,0.1183,0.9422,119.49,110.35,100.232
1,cell_07,2024-01-01 00:00:00,3.6983,3.5484,3.8482,1.353,2.0076,32.09,40.09,0.1113,0.946,86.04,86.65,100.065
2,cell_07,2024-01-01 06:00:00,3.7206,3.569,3.8707,1.2972,1.9472,31.61,42.09,0.1543,0.9466,88.49,89.9,99.802
3,cell_07,2024-01-01 12:00:00,3.6965,3.5465,3.8499,1.3303,1.9803,32.23,41.07,0.117,0.9574,94.48,86.61,100.0
1,cell_08,2024-01-01 00:00:00,3.7094,3.5544,3.8597,1.8614,2.7614,39.3,48.12,0.095,0.9333,66.23,57.78,99.499
2,cell_08,2024-01-01 06:00:00,3.6906,3.5365,3.8403,1.8273,2.8013,33.82,42.26,0.0798,0.9335,67.73,63.6,100.5
3,cell_08,2024-01-01 12:00:00,3.7053,3.5528,3.8585,1.8003,2.7479,37.55,46.67,0.0715,0.9557,69.51,60.37,99.845
