cycle_id,cell_id,timestamp,voltage_mean,voltage_min,voltage_max,current_mean,current_max,temperature_mean,temperature_max,soc_min,soc_max,charge_time_min,discharge_time_min,soh_ground_truth
1,cell_00,2024-01-01 00:00:00,3.6976,3.5467,3.8631,1.0471,1.5781,23.85,33.08,0.1815,0.9598,110.09,113.38,99.647
2,cell_00,2024-01-01 06:00:00,3.6892,3.5398,3.8536,0.9508,1.4508,25.13,34.39,0.1488,0.9504,124.07,117.08,100.235
3,cell_00,2024-01-01 12:00:00,3.7057,3.5419,3.8557,0.9772,1.4788,23.81,32.77,0.1525,0.9578,122.06,112.2,99.943
4,cell_00,2024-01-01 18:00:00,3.7058,3.5567,3.8593,0.9307,1.438,23.35,32.17,0.1432,0.9324,127.09,125.03,100.351
5,cell_00,2024-01-02 00:00:00,3.6854,3.5135,3.8353,0.9295,1.4295,25.35,33.35,0.1322,0.9586,127.93,123.13,100.225
6,cell_00,2024-01-02 06:00:00,3.7077,3.559,3.8577,0.9913,1.5131,25.23,34.8,0.1206,0.9518,125.55,115.86,100.5
7,cell_00,2024-01-02 12:00:00,3.7209,3.5673,3.8707,0.9635,1.4635,25.87,33.87,0.1627,0.9563,121.78,123.88,100.219
8,cell_00,2024-01-02 18:00:00,3.701,3.5337,3.8674,1.0189,1.5444,28.28,36.28,0.1343,0.9538,120.09,112.77,99.528
9,cell_00,2024-01-03 00:00:00,3.6966,3.5452,3.8502,1.0226,1.5502,25.42,33.42,0.2112,0.9401,112.32,109.24,99.98
10,cell_00,2024-01-03 06:00:00,3.6981,3.5472,3.8482,1.016,1.516,25.73,37.77,0.1283,0.935,120.82,110.63,99.648
11,cell_00,2024-01-03 12:00:00,3.7059,3.5555,3.8679,1.0119,1.5714,23.38,31.38,0.1249,0.9429,121.86,108.14,99.845
12,cell_00,2024-01-03 18:00:00,3.6834,3.5345,3.8331,1.0789,1.5789,23.07,32.07,0.1602,0.9556,110.63,102.71,100.453
13,cell_00,2024-01-04 00:00:00,3.7019,3.5524,3.8518,0.9466,1.4466,27.37,35.37,0.1806,0.9569,129.83,116.13,100.191
14,cell_00,2024-01-04 06:00:00,3.6958,3.5453,3.8538,0.9973,1.5485,23.61,31.61,0.1513,0.9363,125.06,117.8,99.79
15,cell_00,2024-01-04 12:00:00,3.718,3.5673,3.8688,1.0566,1.5566,23.43,31.43,0.1614,0.9402,116.63,109.88,99.696
16,cell_00,2024-01-04 18:00:00,3.6983,3.5391,3.8508,1.0632,1.5632,24.94,32.94,0.1131,0.9428,111.64,107.57,100.01
17,cell_00,2024-01-05 00:00:00,3.7161,3.5649,3.8663,0.9289,1.4289,24.86,33.64,0.1364,0.9464,128.51,120.66,99.635
18,cell_00,2024-01-05 06:00:00,3.6887,3.5382,3.8388,0.9844,1.5357,23.65,31.65,0.1285,0.9364,125.06,117.63,99.799
19,cell_00,2024-01-05 12:00:00,3.706,3.5562,3.876,1.0679,1.5679,24.54,32.54,0.1121,0.9358,110.14,110.37,100.094
20,cell_00,2024-01-05 18:00:00,3.7037,3.5523,3.8618,1.0254,1.5819,26.84,36.52,0.1523,0.9418,121.0,116.04,100.347
21,cell_00,2024-01-06 00:00:00,3.6916,3.5359,3.8432,1.0098,1.5098,23.79,34.66,0.1051,0.9509,117.01,113.66,100.183
22,cell_00,2024-01-06 06:00:00,3.7007,3.549,3.8511,0.9891,1.4891,22.91,33.89,0.1236,0.9382,124.17,118.32,99.313
23,cell_00,2024-01-06 12:00:00,3.7123,3.5625,3.8622,0.9808,1.4808,26.41,35.13,0.1393,0.9488,117.4,116.48,100.091
24,cell_00,2024-01-06 18:00:00,3.6968,3.5358,3.8468,1.0144,1.5144,25.74,33.83,0.1334,0.9606,112.93,112.1,100.022
25,cell_00,2024-01-07 00:00:00,3.6833,3.5336,3.8358,0.9874,1.5307,24.07,34.73,0.1579,0.937,127.74,120.05,100.124
26,cell_00,2024-01-07 06:00:00,3.7006,3.5518,3.8588,0.9979,1.5345,22.63,33.99,0.1561,0.9479,125.3,113.42,100.485
27,cell_00,2024-01-07 12:00:00,3.69,3.5341,3.8404,1.0039,1.5039,23.88,34.15,0.1679,0.9602,123.34,111.61,99.381
28,cell_00,2024-01-07 18:00:00,3.6963,3.5412,3.8464,0.9661,1.4661,24.92,32.92,0.165,0.9458,129.59,115.37,99.823
29,cell_00,2024-01-08 00:00:00,3.6995,3.5499,3.8494,1.0266,1.5266,26.75,35.15,0.1728,0.9443,116.37,111.46,100.177
30,cell_00,2024-01-08 06:00:00,3.6819,3.5278,3.8322,1.1457,1.7104,23.45,32.32,0.15,0.9616,101.79,99.27,99.299
31,cell_00,2024-01-08 12:00:00,3.6842,3.5274,3.8346,0.9112,1.4112,24.87,32.87,0.1561,0.9469,127.1,127.5,100.216
32,cell_00,2024-01-08 18:00:00,3.7046,3.5506,3.8547,1.0162,1.5964,26.01,34.95,0.1602,0.961,117.96,111.23,99.884
33,cell_00,2024-01-09 00:00:00,3.6948,3.5386,3.8509,0.962,1.462,21.43,33.97,0.1528,0.9543,121.28,115.02,100.027
34,cell_00,2024-01-09 06:00:00,3.6738,3.5228,3.8315,1.0289,1.5289,26.55,35.83,0.1421,0.9466,121.23,114.62,99.602
35,cell_00,2024-01-09 12:00:00,3.7075,3.5536,3.8576,1.0023,1.5023,23.23,34.17,0.1434,0.9548,113.52,111.63,99.765
36,cell_00,2024-01-09 18:00:00,3.7025,3.5521,3.8526,1.0381,1.5381,25.5,33.86,0.1336,0.9532,111.29,114.52,99.841
37,cell_00,2024-01-10 00:00:00,3.6922,3.5412,3.8425,1.0588,1.5588,25.37,33.37,0.1584,0.9602,110.01,103.93,99.59
38,cell_00,2024-01-10 06:00:00,3.6862,3.5265,3.8488,1.0096,1.5144,26.63,35.39,0.1481,0.9445,114.81,113.16,99.591
39,cell_00,2024-01-10 12:00:00,3.7078,3.542,3.858,1.0566,1.5566,25.83,33.83,0.1367,0.9504,110.02,107.88,99.602
