cell_id,top_driver,driver_importance_scores
cell_00,internal_resistance_proxy,"{""cumulative_time_above_40C"": 0.0, ""discharge_depth"": 0.0, ""c_rate"": 0.0, ""internal_resistance_proxy"": 1.0}"
cell_01,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.6063, ""discharge_depth"": 0.0, ""c_rate"": 0.0, ""internal_resistance_proxy"": 0.3937}"
cell_02,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.5658, ""discharge_depth"": 0.0124, ""c_rate"": 0.0, ""internal_resistance_proxy"": 0.4217}"
cell_03,internal_resistance_proxy,"{""cumulative_time_above_40C"": 0.0, ""discharge_depth"": 0.0, ""c_rate"": 0.0, ""internal_resistance_proxy"": 1.0}"
cell_04,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.6162, ""discharge_depth"": 0.0, ""c_rate"": 0.0246, ""internal_resistance_proxy"": 0.3592}"
cell_05,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.5763, ""discharge_depth"": 0.0023, ""c_rate"": 0.0, ""internal_resistance_proxy"": 0.4215}"
cell_06,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.6972, ""discharge_depth"": 0.0002, ""c_rate"": 0.0528, ""internal_resistance_proxy"": 0.2498}"
cell_07,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.6242, ""discharge_depth"": 0.0129, ""c_rate"": 0.0029, ""internal_resistance_proxy"": 0.36}"
cell_08,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.545, ""discharge_depth"": 0.038, ""c_rate"": 0.0, ""internal_resistance_proxy"": 0.4169}"
cell_09,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.5469, ""discharge_depth"": 0.0626, ""c_rate"": 0.0481, ""internal_resistance_proxy"": 0.3424}"
cell_10,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.6318, ""discharge_depth"": 0.0, ""c_rate"": 0.0, ""internal_resistance_proxy"": 0.3682}"
cell_11,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.549, ""discharge_depth"": 0.0149, ""c_rate"": 0.0113, ""internal_resistance_proxy"": 0.4248}"
cell_12,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.6771, ""discharge_depth"": 0.0, ""c_rate"": 0.0, ""internal_resistance_proxy"": 0.3229}"
cell_13,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.6147, ""discharge_depth"": 0.0, ""c_rate"": 0.0325, ""internal_resistance_proxy"": 0.3527}"
cell_14,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.5762, ""discharge_depth"": 0.0015, ""c_rate"": 0.0, ""internal_resistance_proxy"": 0.4224}"
cell_15,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.7255, ""discharge_depth"": 0.0, ""c_rate"": 0.0, ""internal_resistance_proxy"": 0.2745}"
cell_16,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.6084, ""discharge_depth"": 0.0229, ""c_rate"": 0.0327, ""internal_resistance_proxy"": 0.336}"
cell_17,cumulative_time_above_40C,"{""cumulative_time_above_40C"": 0.5557, ""discharge_depth"": 0.0, ""c_rate"": 0.0259, ""internal_resistance_proxy"": 0.4183}"
